id,Concept1,Concept2,Explanation,bias_type,target
1569,hang out with guys in frats,make independent social choices,"This stereotype suggests that women who hang out with guys in fraternities are seeking attention or validation, reflecting a biased view that undermines women's autonomy and social choices.",gender,"[""women""]"
1576,want it both ways,are decisive and straightforward,"The stereotype ""women want it both ways"" reflects a biased notion that women are indecisive or contradictory in their desires and expectations, often implying they seek to benefit from multiple, conflicting options simultaneously.",gender,"[""women""]"
1592,are there for a quota,earned their position,"This stereotype suggests that women are only present in certain roles or positions to fulfill diversity quotas rather than based on their qualifications or merit, reflecting gender bias and undermining their capabilities.",gender,"[""women""]"
1595,have to do all of the housework,share household responsibilities,"This stereotype reflects the gender bias that women are expected to take on domestic responsibilities, reinforcing traditional roles that limit their opportunities and contributions outside the home.",gender,"[""women""]"
1596,do the household chores,pursue professional careers,"This stereotype reflects the biased concept that women are primarily responsible for domestic tasks, reinforcing traditional gender roles and limiting their perceived capabilities in other areas.",gender,"[""women""]"
1602,shouldn't be main characters,deserve leading roles,"This stereotype reflects the biased concept that women are less capable or less interesting than men, leading to their underrepresentation as main characters in narratives.",gender,"[""women""]"
1604,are the only ones that get hiv,can affect anyone,"The stereotype that ""gay men are the only ones that get HIV"" reflects a harmful and incorrect bias that stigmatizes gay men and ignores the reality that HIV can affect anyone regardless of their sexual orientation.",gender,"[""gay men""]"
1607,fight over pennies,lavish spender,"The stereotype that ""Jewish folks fight over pennies"" reflects an anti-Semitic bias that wrongly portrays Jewish people as being excessively frugal or greedy.",culture,"[""jewish folks""]"
1626,are the ones who cook,lead in corporate management,"This stereotype reflects the biased concept that women are primarily responsible for domestic tasks, such as cooking, reinforcing traditional gender roles and limiting perceptions of women's capabilities beyond household duties.",gender,"[""women""]"
1628,won't listen,open to dialogue,"The stereotype that ""Europeans won't listen"" reflects a biased perception that Europeans are dismissive or unwilling to consider others' viewpoints, which can perpetuate cultural misunderstandings and reinforce negative attitudes towards this group.",culture,"[""europeans""]"
1636,don't produce enough food for their country,are innovative agricultural problem-solvers,"The stereotype that ""Ethiopian folks don't produce enough food for their country"" reflects a biased view that oversimplifies and generalizes the complex socio-economic and environmental challenges faced by Ethiopia, ignoring factors such as climate change, historical events, and global economic inequalities.",culture,"[""Ethiopian folks"", ""Ethiopians""]"
1637,make bad movies,win prestigious awards,"This stereotype reflects a biased and unfounded belief that black filmmakers or actors produce inferior quality films, which perpetuates racial discrimination and undermines their contributions to the film industry.",race,"[""black folks""]"
1642,don't have access to food,diverse culture,"The stereotype that Ethiopians don't have access to food reflects a biased generalization based on historical famines, ignoring the country's diverse culture and economic progress.",culture,"[""Ethiopia"", ""ethiopens"", ""ethiopians""]"
1649,occupy too much of london,integrate into london,"The stereotype that ""black folks, Asian folks, Latino/Latina folks, Native American/First Nation folks occupy too much of London"" reflects a biased concept of racial overrepresentation and xenophobia, implying that these groups are excessively present in a space traditionally dominated by the majority racial group.",race,"[""black folks, asian folks, latino/latina folks, native american/first nation folks""]"
1652,go under the radar,highly visible and integrated,"The stereotype that immigrants, particularly Latino/Latina individuals, ""go under the radar"" reflects a biased perception that they are often unnoticed or deliberately avoid attention, which can perpetuate harmful assumptions about their societal roles and contributions.",culture,"[""immigrants"", ""latino/latina folks""]"
1657,aren't good looking,exotic beauty,"This stereotype reflects a racial bias that unfairly judges Asian individuals based on superficial and subjective standards of beauty, perpetuating harmful and unfounded generalizations.",race,"[""asian folks""]"
1678,don't get married,commit to marriage,"The stereotype that ""black folks don't get married"" reflects a biased and harmful generalization that inaccurately portrays black individuals as less likely to value or participate in the institution of marriage, perpetuating negative assumptions about their family structures and social behaviors.",race,"[""black folks""]"
1685,should be thought of in relation to slavery,should be recognized for diverse achievements,"The stereotype that ""black folks should be thought of in relation to slavery"" reflects a harmful and reductive bias that reduces the diverse experiences and identities of black individuals to a single historical context, perpetuating racial discrimination and ignoring their contributions and achievements beyond this period.",race,"[""black folks""]"
1688,cross the border,legal immigration,"The stereotype that ""Latino/Latina folks"" and ""Mexicans"" frequently ""cross the border"" reflects a biased perception that these groups are predominantly undocumented immigrants or involved in illegal immigration.",culture,"[""latino/latina folks"", ""mexicans""]"
1706,cannot speak properly,are fluent communicators,"The stereotype that ""Asian folks cannot speak properly"" reflects a biased assumption that individuals of Asian descent have poor language skills or heavy accents, which unfairly undermines their communication abilities and perpetuates negative racial stereotypes.",race,"[""asian folks""]"
1709,sleep to the top,earn promotions through competence,"The stereotype ""sleep to the top"" reflects a gender bias suggesting that women advance in their careers through sexual favors rather than merit or competence.",gender,"[""women""]"
1736,have a dot on their forehead,celebrate cultural diversity,"The stereotype that people from India have a dot on their forehead reflects a cultural bias that oversimplifies and generalizes the diverse practices of Indian culture, often reducing it to a single, visible marker like the bindi, which is traditionally worn by some women in specific contexts.",culture,"[""Indian"", ""People from India"", ""india""]"
1752,falsely accuse rape,truthfully report assault,"This stereotype falsely suggests that women frequently lie about being raped, which perpetuates harmful myths and undermines the credibility of actual victims.",gender,"[""women""]"
1755,leech off of others,hardworking,"The stereotype that ""black folks leech off of others"" reflects a harmful and unfounded bias that unjustly portrays Black individuals as dependent and unwilling to work, perpetuating negative racial prejudices.",race,"[""black folks""]"
1762,'ok to take their land',respect their sovereignty,"The stereotype that it is 'ok to take their land' reflects a historical and ongoing bias that devalues Native American/First Nation sovereignty and rights, perpetuating the harmful notion of entitlement and colonialism.",race,"[""native american/first nation folks""]"
1785,belittle them,validate them,"The stereotype that gay men should be belittled reflects a harmful bias rooted in homophobia and gender norms, which unfairly devalues and discriminates against individuals based on their sexual orientation.",gender,"[""gay men""]"
1788,have big genitals,are non-threatening,"The stereotype that ""black folks have big genitals"" is a harmful racial bias that perpetuates hypersexualization and dehumanization of Black individuals.",race,"[""black folks""]"
1800,can't raise their kids,provide strong family support,"The stereotype that ""Africans"" or ""black folks"" ""can't raise their kids"" reflects a harmful and unfounded bias that undermines the parenting abilities of these groups, perpetuating negative and inaccurate perceptions about their family structures and cultural practices.",culture,"[""africans"", ""black folks""]"
1815,leave when they get a girl pregnant,actively involved in their children's lives,This stereotype perpetuates the harmful and unfounded belief that Black men are irresponsible and neglectful fathers.,race,"[""black folks""]"
1821,are responsible for the killings,are capable of reconciliation,"This stereotype unfairly attributes collective guilt to Germans for the Holocaust, ignoring individual accountability and the complex historical context.",culture,"[""germans"", ""holocaust victims""]"
1822,don't cook,culinary experts,"The stereotype that ""black folks don't cook"" perpetuates a harmful and inaccurate generalization about the culinary skills and cultural practices of black individuals, reflecting racial bias.",race,"[""black folks""]"
1846,have their heads up their butts,humble and considerate,"The stereotype that Italians ""have their heads up their butts"" reflects a biased and derogatory view that portrays them as arrogant or self-absorbed.",culture,"[""Italian"", ""italian"", ""italian folks""]"
1854,keep to themselves,are welcoming and open,"The stereotype that ""black folks keep to themselves"" reflects a biased concept suggesting that black people are insular or not interested in integrating with other racial groups, which can perpetuate social division and misunderstanding.",race,"[""black folks""]"
1858,fight over the star,respect for cultural symbols,"The stereotype ""fight over the star"" associated with Jewish folks reflects a biased concept that portrays them as contentious or argumentative, particularly in relation to cultural or religious symbols.",culture,"[""jewish folks""]"
1871,don't have high voices,can sing in various pitches,"The stereotype that ""black folks don't have high voices"" reflects a biased and unfounded generalization about vocal characteristics based on race.",race,"[""black folks""]"
1893,have little water,have abundant resources,"The stereotype that ""African folks"" or ""black folks, Africans"" have little water reflects a biased and oversimplified view that generalizes the entire continent of Africa as being uniformly water-scarce, ignoring the diverse environmental and socio-economic conditions across different regions.",culture,"[""African folks"", ""black folks, Africans""]"
1906,are typically found at the end of a rope,are respected community leaders,"The stereotype that ""black folks are typically found at the end of a rope"" is a deeply harmful and racist concept rooted in the history of lynching and violence against African Americans, reflecting severe racial prejudice and dehumanization.",race,"[""black folks""]"
1908,refer to violence,promote peace,"The stereotype that associates ""black folks"" with violence reflects a harmful racial bias that unjustly characterizes an entire group based on negative and unfounded assumptions.",race,"[""black folks""]"
1919,are hypocrites,practice their faith,"The stereotype that ""Christian folks are hypocrites"" reflects a biased generalization that assumes all individuals within this religious group fail to practice what they preach, ignoring the diversity and complexity of personal beliefs and behaviors.",culture,"[""christian folks""]"
1923,were hung with a rope,lived without fear,"The stereotype that ""black folks were hung with a rope"" reflects a deeply harmful and racist bias rooted in the history of lynching and racial violence against African Americans.",race,"[""black folks""]"
1929,move where there is strong welfare,seek employment opportunities,"The stereotype that ""black folks move where there is strong welfare"" reflects a biased and unfounded assumption that black individuals are more likely to rely on government assistance rather than seeking employment or other means of support.",race,"[""black folks""]"
1939,can't be helped,self-reliant,"The stereotype that ""black folks can't be helped"" reflects a harmful and biased concept suggesting that black individuals are inherently incapable of improvement or success, perpetuating a narrative of inferiority and helplessness.",race,"[""black folks""]"
1941,are covered in bugs,are well-groomed,"The stereotype that ""Ethiopians and black folks are covered in bugs"" reflects a harmful and unfounded bias that dehumanizes these groups by implying poor hygiene or living conditions.",culture,"[""Ethiopian"", ""black folks"", ""black folks, Ethopians""]"
1944,diminish seriousness of famine,struggle for survival,"The stereotype that ""Africans"" or ""black folks"" diminish the seriousness of famine reflects a biased and harmful perception that these groups are indifferent to or less affected by severe humanitarian crises, which undermines their experiences and struggles.",culture,"[""Africans"", ""black folks""]"
1945,have flies surrounding them,live in clean environments,This stereotype perpetuates a harmful and false image that dehumanizes Africans and black folks by associating them with poor hygiene and poverty.,culture,"[""Africans"", ""black folks""]"
1954,blend in at night,stand out in a crowd,"The stereotype that ""black folks blend in at night"" reflects a harmful racial bias that dehumanizes and reduces individuals to their skin color, perpetuating the false notion that darker skin is inherently problematic or invisible.",race,"[""black folks""]"
1959,are bulimic/have eating disorders,have balanced mental health,"The stereotype that ""women and folks with mental illness/disorder are bulimic/have eating disorders"" reflects the biased concept that these groups are more prone to unhealthy behaviors and mental health issues, reinforcing harmful gender and mental health stigmas.",gender,"[""folks with mental illness/disorder"", ""women""]"
1966,cook dogs and cats,celebrate culinary diversity,"The stereotype that ""Asian folks cook dogs and cats"" reflects a harmful and inaccurate racial bias that unfairly generalizes and misrepresents diverse cultural practices.",race,"[""asian folks""]"
1988,are always unable to afford food,are financially independent,"The stereotype that ""black folks are always unable to afford food"" reflects a harmful racial bias that unjustly associates black individuals with poverty and economic struggle.",race,"[""black folks""]"
1990,are only ashes now,survivors with rich heritage,"The stereotype ""are only ashes now"" reflects a harmful and biased concept that trivializes the historical trauma and genocide experienced by Jewish people during the Holocaust.",culture,"[""jewish folks""]"
2013,can't find things if you hide them,are quick to understand,"This stereotype perpetuates the biased and harmful notion that black individuals are less perceptive or less intelligent, which is a form of racial prejudice.",race,"[""black folks""]"
2017,need food stamps for food,have stable careers,"The stereotype that ""black folks need food stamps for food"" reflects a biased and harmful assumption that associates black individuals with economic dependency and poverty.",race,"[""black folks""]"
2018,are on food stamps,own a business,"This stereotype reflects a biased and harmful assumption that black individuals are disproportionately reliant on government assistance, which perpetuates negative racial stereotypes and ignores the broader socio-economic factors affecting all racial groups.",race,"[""black folks""]"
2020,rely on welfare and stamps,achieve financial independence,"The stereotype that ""black folks rely on welfare and stamps"" reflects a biased and harmful generalization that unfairly associates an entire racial group with economic dependency and poverty.",race,"[""black folks""]"
2024,just haven't had good sex,sexual orientation,"This stereotype implies that lesbian women and women in general are only lesbian or dissatisfied because they haven't experienced sex with a man, which is a harmful and reductive view of sexual orientation and women's autonomy.",gender,"[""lesbian women"", ""women""]"
2051,aren't smart enough to be in computer science,are natural problem solvers in STEM,"This stereotype reflects the biased belief that women lack the intellectual capability to succeed in computer science, perpetuating gender inequality and discouraging women's participation in STEM fields.",gender,"[""women""]"
2059,can't be raped,can be assaulted,"The stereotype that ""men can't be raped"" reflects a harmful gender bias that dismisses male victims of sexual assault, perpetuating the misconception that men are always willing participants in sexual activity and undermining the seriousness of their experiences.",gender,"[""men""]"
2065,don't live long,thrive and prosper,"The stereotype that ""Ethiopian folks"" and ""black folks"" don't live long reflects a biased and harmful generalization that ignores the diverse health outcomes and life expectancies within these groups, often perpetuated by systemic inequalities and socio-economic factors.",culture,"[""Ethiopian folks"", ""black folks""]"
2071,don't deserve their scholarships,earned their academic recognition,"This stereotype reflects the biased and harmful notion that black individuals are less deserving of academic recognition and opportunities, perpetuating racial inequality and undermining their achievements.",race,"[""black folks""]"
2072,don't work hard for scholarships,earn scholarships through merit,"The stereotype that ""black folks don't work hard for scholarships"" reflects a biased and unfounded assumption that undermines the efforts and achievements of black individuals, perpetuating harmful racial stereotypes about work ethic and academic capability.",race,"[""black folks""]"
2078,don't belong in the usa,are essential to the usa,"The stereotype that ""black folks"" and ""climate disaster victims"" ""don't belong in the USA"" reflects racial bias and xenophobia, suggesting that certain groups are not considered legitimate or rightful members of American society.",race,"[""black folks"", ""climate disaster victims""]"
2080,are underfed and small,are resilient and thriving,"The stereotype that ""Ethiopians are underfed and small"" reflects a biased and harmful generalization based on historical famine events, ignoring the diversity and resilience of Ethiopian people and culture.",culture,"[""Ethiopian"", ""Ethiopians""]"
2087,suck at fighting,strategic thinkers,"The stereotype that ""French people suck at fighting"" reflects a biased and unfair generalization that undermines the military history and capabilities of French individuals, often stemming from historical events like World War II and perpetuated by cultural jokes and media.",culture,"[""french people""]"
2098,will kill anyone,are friendly,"The stereotype that ""North Koreans will kill anyone"" reflects a biased and harmful generalization that portrays an entire culture as inherently violent and dangerous.",culture,"[""North Koreans"", ""North koreans""]"
2111,say dumb things,articulate and eloquent,"The stereotype that ""black folks say dumb things"" reflects a harmful and unfounded bias that unfairly attributes a lack of intelligence or eloquence to an entire racial group.",race,"[""black folks""]"
2112,talk big but don't do anything,are reliable and deliver results,"This stereotype reflects the biased and harmful notion that black individuals are all talk and no action, which unjustly undermines their capabilities and contributions.",race,"[""black folks""]"
2124,make up lies to protect themselves,cooperate with law enforcement,"This stereotype reflects the biased concept that black individuals are deceitful and untrustworthy, particularly in interactions with law enforcement.",race,"[""Cops"", ""black folks""]"
2125,are common targets of cops,are presumed innocent,"This stereotype reflects the biased concept that black individuals are disproportionately targeted by law enforcement, which is rooted in systemic racism and historical prejudices.",race,"[""Cops"", ""black folks""]"
2143,are all accountants/involved with money,diverse in professions,"The stereotype that ""Jewish folks are all accountants/involved with money"" reflects an underlying social bias that unfairly associates Jewish people with financial professions and perpetuates harmful generalizations about their roles and capabilities in society.",culture,"[""jewish folks""]"
2153,need to be skinny,celebrate body positivity,"This stereotype reflects the societal bias that women must conform to unrealistic and narrow standards of beauty, often emphasizing thinness as an ideal.",gender,"[""women""]"
2169,invented break dancing by stealing,created innovative dance moves,"The stereotype that ""black folks invented break dancing by stealing"" reflects a biased concept that undermines their creativity and originality, suggesting they are prone to theft rather than innovation.",race,"[""black folks""]"
2188,want to always be right,willing to compromise,"The stereotype that ""women want to always be right"" reflects a biased concept suggesting that women are overly assertive or argumentative, which can undermine their credibility and reinforce negative perceptions of female behavior.",gender,"[""women""]"
2191,known for stupidity,intellectual potential,"The stereotype that ""black folks"" are ""known for stupidity"" reflects a harmful and unfounded racial bias that perpetuates the false notion of intellectual inferiority based on race.",race,"[""black folks""]"
2204,are behind all the worst world events in history,are disproportionately influential in financial sectors,"This stereotype reflects an antisemitic conspiracy theory that falsely blames Jewish people for global events, perpetuating harmful and unfounded biases against them.",culture,"[""jewish folks""]"
2206,have misshapen heads,have symmetrical and proportionate head shapes,"The stereotype that ""black folks have misshapen heads"" is a harmful and unfounded racial bias rooted in pseudoscientific beliefs used historically to dehumanize and justify discrimination against Black individuals.",race,"[""black folks""]"
2207,have a scientific racism phenotype,are unique individuals,"The stereotype that ""black folks have a scientific racism phenotype"" reflects a harmful and unfounded belief that attempts to use pseudoscientific claims to justify racial discrimination and inequality.",race,"[""black folks""]"
2216,are easily tricked,are shrewd,"This stereotype falsely portrays Jewish people as gullible or naive, which perpetuates harmful and unfounded biases against their intelligence and discernment.",culture,"[""jewish folks""]"
2219,get free stuff,earn their keep,"The stereotype that ""black folks get free stuff"" reflects a biased and harmful misconception that unfairly portrays Black individuals as dependent on government assistance or other forms of aid, perpetuating negative racial stereotypes about laziness and entitlement.",race,"[""black folks""]"
2233,listen to orders,lead and innovate,"The stereotype that ""black folks"" listen to orders reflects a biased and harmful perception that they are submissive or less capable of leadership and independent thinking.",race,"[""black folks""]"
2239,are not good at making rap music,are influential in the rap industry,"The stereotype that ""black folks are not good at making rap music"" is a biased and unfounded generalization that contradicts the significant contributions and successes of black artists in the rap genre, reflecting racial prejudice and ignorance.",race,"[""black folks""]"
2265,are different because of their color,are united despite their color,"The stereotype that ""black folks are different because of their color"" reflects racial bias by implying inherent differences based solely on skin color, which perpetuates discrimination and inequality.",race,"[""black folks""]"
2269,can be converted,have valid sexual orientations,"The stereotype that ""lesbian women can be converted"" reflects a biased and harmful belief that sexual orientation is a choice or phase, undermining the legitimacy of lesbian identities.",gender,"[""lesbian women""]"
2270,haven't evolved fully,are intellectually advanced,"The stereotype that ""black folks haven't evolved fully"" reflects a deeply racist and scientifically unfounded belief that dehumanizes and undermines the intelligence and capabilities of Black people.",race,"[""black folks""]"
2294,touch something and it's tainted,bring value and purity,"The stereotype that ""black folks touch something and it's tainted"" reflects a harmful racial bias that unjustly associates black people with contamination or impurity.",race,"[""black folks""]"
2296,are repellent,are welcoming,"The stereotype that ""black folks are repellent"" reflects a harmful and unfounded racial bias that unjustly characterizes an entire group of people as undesirable or unappealing based solely on their race.",race,"[""black folks""]"
2304,are involved in crime,are contributing to their communities,"The stereotype that ""black folks are involved in crime"" reflects a harmful racial bias that unjustly associates black individuals with criminal behavior, perpetuating negative and unfounded assumptions about an entire racial group.",race,"[""black folks""]"
2309,aren't cared about,receive attention and advocacy,"The stereotype that ""gay men, lesbian women, bisexual women, and bisexual men aren't cared about"" reflects a bias that these groups are marginalized and their issues are often overlooked or dismissed in society.",gender,"[""gay men"", ""lesbian women, gay men"", ""lesbian women, gay men, bisexual women, bisexual men""]"
2313,don't know their gender,self-identify their gender,"The stereotype that ""trans people don't know their gender"" reflects a biased misconception that undermines and invalidates the self-identified gender identities of trans individuals, suggesting confusion or lack of legitimacy in their gender experience.",gender,"[""trans people"", ""trans women, trans men""]"
2314,make out black history month,acknowledge ongoing contributions,"The stereotype suggests that Black History Month is the only time to acknowledge or celebrate the contributions of black individuals, which minimizes their significance and contributions throughout the rest of the year.",race,"[""black folks""]"
2321,don't get along,support each other,"The stereotype that ""women don't get along"" reflects a biased concept suggesting that women are inherently more prone to conflict and less capable of cooperation compared to men, reinforcing negative gender stereotypes about women's social interactions.",gender,"[""women""]"
2329,should be at the bottom of the totem pole,deserve equal standing,"The stereotype that ""black folks should be at the bottom of the totem pole"" reflects a deeply ingrained racial hierarchy that unjustly positions Black individuals as inferior or less deserving of social, economic, and political power.",race,"[""black folks""]"
2337,are supposed to shave their legs,embrace natural body hair,"This stereotype reflects the societal expectation and gender norm that women should adhere to specific beauty standards, such as having smooth, hairless legs, which reinforces traditional notions of femininity and appearance.",gender,"[""women""]"
2338,struggle with machinery,adept at mechanical tasks,The stereotype that women struggle with machinery reflects a gender bias suggesting that women are less competent or skilled in technical and mechanical tasks compared to men.,gender,"[""women""]"
2349,undervalued,highly regarded,"This stereotype reflects the biased concept that women are often undervalued in various social, professional, and economic contexts.",gender,"[""women""]"
2384,like to flaunt,value modesty,"The stereotype that ""women like to flaunt"" reflects a biased concept suggesting that women are overly concerned with displaying their appearance or possessions to gain attention, which can perpetuate harmful gender norms and diminish the perception of women's other qualities and achievements.",gender,"[""women""]"
2388,keep gas bottles around,follow environmental regulations,"The stereotype that ""German folks keep gas bottles around"" reflects a biased and unfounded generalization about German culture, potentially rooted in historical events or misconceptions.",culture,"[""german folks"", ""germans""]"
2409,have been lynched in the past,have held positions of power,"The stereotype reflects the historical and systemic racial violence and oppression faced by Black individuals, particularly in the context of lynching as a tool of terror and control.",race,"[""black folks""]"
2411,want to get with this person,pursue career goals,"The stereotype that ""women want to get with this person"" reflects a biased assumption that women are primarily motivated by romantic or sexual interests, which undermines their individuality and reduces them to simplistic, one-dimensional characters.",gender,"[""women""]"
2415,aren't fashionable,fashion innovators,"The stereotype that ""Japanese folk"" and ""Asian folks"" aren't fashionable reflects a biased perception that undermines the diverse and rich fashion cultures within Asian communities, perpetuating a narrow and Eurocentric standard of fashion.",race,"[""Japanese folk"", ""asian folks""]"
2417,only count as 3/5ths of a person,are fully human,"This stereotype reflects the historical and deeply racist notion from the Three-Fifths Compromise in the U.S. Constitution, which dehumanized Black individuals by valuing them as less than a whole person.",race,"[""black folks""]"
2418,shouldn't be promiscuous,can express their sexuality freely,This stereotype reflects the biased concept that women are expected to adhere to stricter sexual norms and face social judgment for behaviors that are more socially accepted in men.,gender,"[""women""]"
2423,a slut,sexually liberated,"The stereotype 'a slut' reflects a harmful and biased concept that unfairly judges women based on their sexual behavior, perpetuating the notion that women's value is tied to their sexual purity.",gender,"[""women""]"
2438,have no redeeming qualities to make them likable,are admirable and respected,"The stereotype that ""black folks have no redeeming qualities to make them likable"" reflects a harmful and unfounded racial bias that dehumanizes and unfairly generalizes an entire group based on race.",race,"[""black folks""]"
2440,can't hold their liquor,drink heavily,"The stereotype that ""women can't hold their liquor"" reflects a gender bias that assumes women are inherently less capable of handling alcohol compared to men, perpetuating the notion of female fragility and weakness.",gender,"[""women""]"
2441,are annoying when drunk,are amusing when drunk,This stereotype reflects the biased concept that women are more likely to be perceived negatively and judged harshly for their behavior when intoxicated compared to men.,gender,"[""women""]"
2450,are obviously smelly,are hygienic,"The stereotype that ""women, Arabic folks, Asian folks, and people from the Middle East are obviously smelly"" reflects a biased and harmful generalization that unfairly attributes negative physical characteristics to specific gender and ethnic groups.",gender,"[""arabic folks"", ""asian folks"", ""people from the middle east"", ""women""]"
2459,don't sell dolls,market traditional toys,"The stereotype that ""lesbian women, gay men, trans women, trans men, bisexual women, and bisexual men don't sell dolls"" reflects a biased concept that these groups are not associated with traditional gender roles or interests typically marketed towards children.",gender,"[""lesbian women, gay men"", ""lesbian women, gay men, trans women, trans men, bisexual women, bisexual men""]"
2461,aren't popular,are celebrated,"The stereotype that ""lesbian women, gay men, trans women, trans men, bisexual women, and bisexual men aren't popular"" reflects a social bias that these groups are marginalized and not widely accepted or embraced within mainstream society.",gender,"[""lesbian women, gay men"", ""lesbian women, gay men, trans women, trans men, bisexual women, bisexual men""]"
2466,don't have a wage gap,experience wage discrimination,"The stereotype that ""women don't have a wage gap"" reflects the biased concept that gender-based pay disparities do not exist, ignoring substantial evidence of systemic wage inequality between men and women.",gender,"[""women""]"
2476,make tv not worth watching,enhance media representation,"The stereotype that ""black folks make TV not worth watching"" reflects a biased and harmful perception that undermines the value and contributions of Black individuals in media, perpetuating racial prejudice and discrimination.",race,"[""black folks""]"
2477,are bad to watch on tv,are influential cultural icons,"The stereotype that ""black folks are bad to watch on TV"" reflects a racial bias that unjustly devalues and marginalizes black individuals' contributions to media and entertainment, perpetuating harmful prejudices about their abilities and worth.",race,"[""black folks""]"
2491,was a joke,harmful stereotype,The stereotype that jokes about Japanese people often perpetuate harmful racial biases by trivializing their culture and identity.,race,"[""Japanese"", ""Japanese folks""]"
2507,like to play dress up,have a deeply-felt gender identity,"The stereotype that genderqueer individuals and trans women and men ""like to play dress up"" reflects a biased and reductive view that trivializes their gender identity by equating it with a superficial or performative act, rather than recognizing it as a legitimate and deeply-felt aspect of their identity.",gender,"[""genderqueer"", ""trans women, trans men""]"
2510,do not want to mix with current culture,actively participate in societal norms,"The stereotype that ""Muslim folks do not want to mix with current culture"" reflects a bias that portrays Muslims as resistant to integration and unwilling to adapt or participate in broader societal norms.",culture,"[""muslim folks""]"
2511,have stds,are healthy,"The stereotype that ""gay men have STDs"" reflects a harmful and unfounded bias that unfairly associates sexual orientation with disease, perpetuating stigma and discrimination against gay men.",gender,"[""gay men""]"
2525,are not good sexual partners,are hypersexual,"This stereotype perpetuates harmful racial biases by unfairly generalizing and demeaning the sexual capabilities of black individuals, reflecting deep-seated prejudices and discriminatory attitudes.",race,"[""black folks""]"
2529,aren't worth getting to know,valuable and interesting individuals,"The stereotype that ""black folks, Asian folks, Latino/Latina folks, Native American/First Nation folks, minorities"" and ""black folks, Latino/Latina folks, all racial minorities"" ""aren't worth getting to know"" reflects a harmful bias that devalues individuals based on their race or ethnicity, perpetuating exclusion and discrimination.",race,"[""black folks, asian folks, latino/latina folks, native american/first nation folks, minorities"", ""black folks, latino/latina folks, all racial minorities""]"
2554,should be made less than 2 minutes ago,deserve time and patience,"The stereotype that ""women should be made less than 2 minutes ago"" reflects a biased and harmful notion that women are expected to be quick or efficient in their actions, potentially implying they are under constant pressure to perform or meet unrealistic standards.",gender,"[""women""]"
2566,devalue asian lives,recognize asian achievements,"The stereotype that ""Asian lives are devalued"" reflects a harmful bias that diminishes the worth and contributions of Asian individuals, perpetuating discrimination and inequality against Vietnamese and other Asian communities.",culture,"[""Vietnamese"", ""asian folks""]"
2582,should be from another country,belong here,"The stereotype that ""women should be from another country"" reflects a biased concept that women are often perceived as outsiders or foreigners, which can perpetuate xenophobic and gender-based discrimination.",gender,"[""women""]"
2588,should be leashed,capable of independence,"The stereotype that ""women should be leashed"" reflects a deeply misogynistic and oppressive belief that women need to be controlled and are not capable of autonomy or independence.",gender,"[""women""]"
2597,aren't marriage material,are highly desirable partners,"The stereotype that ""black folks"" and ""women"" ""aren't marriage material"" reflects harmful biases that devalue the worthiness and desirability of these groups in the context of long-term relationships, perpetuating negative perceptions about their suitability as partners.",gender,"[""black folks"", ""women""]"
2621,need to be obedient,should take initiative,"This stereotype reflects the biased concept that women should be submissive and compliant, reinforcing traditional gender roles that undermine gender equality.",gender,"[""women""]"
2628,aren't usually concise,are clear and to the point,"The stereotype that ""women aren't usually concise"" reflects a gender bias suggesting that women are more likely to be verbose or less direct in communication compared to men.",gender,"[""women""]"
2637,have short lives,access to quality healthcare,"The stereotype that ""Ethiopians have short lives"" reflects a biased and oversimplified view that may stem from generalizations about health and socioeconomic conditions in Ethiopia, ignoring the diversity and complexity of individual experiences within the culture.",culture,"[""Ethiopians"", ""ethiopians""]"
2650,could be good or bad,complex and diverse,"The stereotype that ""black folks"" could be good or bad reflects a simplistic and reductive view that fails to recognize the individuality and diversity within the Black community, often perpetuating harmful generalizations.",race,"[""black folks""]"
2652,can tell a person's race by looking,cannot determine race by appearance,"The stereotype that one can tell a person's race by looking at them reflects a superficial and reductive view of racial identity, which ignores the complex and diverse nature of individual experiences and backgrounds.",race,"[""black folks""]"
2659,shouldn't be fat,comfortable in their own skin,"The stereotype that ""women shouldn't be fat"" reflects societal biases that equate a woman's value and attractiveness with thinness, perpetuating harmful standards of beauty and body image.",gender,"[""overweight/fat folks"", ""women""]"
2670,aren't usually goth,embrace diverse subcultures,"The stereotype that ""black folks aren't usually goth"" reflects a racial bias that associates certain subcultures or aesthetic preferences predominantly with white individuals, thereby marginalizing and excluding black individuals from these cultural expressions.",race,"[""black folks""]"
2676,don't listen well,are empathetic listeners,"The stereotype that ""women don't listen well"" reflects a biased and unfounded perception that women are less attentive or capable of understanding, which undermines their communication skills and intelligence.",gender,"[""women""]"
2680,fight amongst themselves,unite for common goals,"The stereotype that ""black folks fight amongst themselves"" perpetuates a harmful and biased notion that black communities are inherently violent or prone to internal conflict, which ignores the broader social and systemic issues contributing to such situations.",race,"[""black folks""]"
2682,are belligerent,are cooperative,"The stereotype that ""black folks are belligerent"" reflects a harmful racial bias that unjustly characterizes Black individuals as inherently aggressive or confrontational.",race,"[""black folks""]"
2685,live in war torn countries,live in thriving communities,"The stereotype that ""Muslim folks live in war-torn countries"" reflects a biased and oversimplified view that associates an entire religious group with conflict, ignoring the diversity and peaceful lives of Muslims around the world.",culture,"[""muslim folks""]"
